epoch	hours	top1Accuracy	top5Accuracy
0	0	0.091214394	0.435341275
1	0.000961247	1.716489069	5.883328834
2	0.001699639	1.815995875	6.074049767
3	0.002403919	1.426261864	5.518470721
4	0.003140836	2.64107163	8.86438134
5	0.003868094	2.184999123	7.57908714
6	0.004593033	1.417969184	4.979477036
7	0.005321644	1.148472475	3.814420271
8	0.006035922	2.048177799	6.521828791
9	0.006776844	3.192503265	9.457274233
10	0.007477892	9.606531765	24.0308483
11	0.008232969	7.819561476	20.35739341
12	0.008968053	4.821925753	13.54534278
13	0.009701267	5.435548204	15.65985305
14	0.010433086	10.00456006	23.99767972
15	0.011188394	10.5311158	25.987803
16	0.011967161	23.23064697	45.35843067
17	0.012766817	22.5672754	44.79041796
18	0.013554383	21.75048871	44.13118684
19	0.014328136	25.82197082	49.8652426
20	0.015102936	28.97715194	53.84137443
21	0.015899992	30.36195562	56.56952161
22	0.016730908	30.1131945	55.69884054
23	0.017521994	37.94519232	65.38828303
24	0.018312633	40.96769269	68.32372258
25	0.019088328	43.56316127	70.94408528
26	0.019886269	47.02931522	73.8090258
27	0.020663139	52.56851711	78.17902297
28	0.021432031	54.67890193	79.70481615
29	0.022206236	55.96832961	80.84082443
30	0.022985594	56.65656529	81.3756707
31	0.023699689	60.25954257	83.95872652
32	0.025115894	70.0028966	89.85445687
33	0.026518558	72.54863268	91.5087582
34	0.027920711	73.48147617	92.14728709
35	0.029566319	74.17387373	92.32556632
36	0.032654025	75.01140123	93.00965727
